Date,GLD,VNQ,XLB,XLE,XLF,XLK,XLP,XLU,XLV,XLY
2013-06-03,136.50999450683594,42.75666809082031,15.616887092590332,25.378944396972656,12.75490665435791,13.505341529846191,28.85296058654785,12.400299072265625,39.29588317871094,24.356740951538086
2013-06-04,135.22999572753906,42.1619987487793,15.597601890563965,25.179109573364258,12.639303207397461,13.445924758911133,28.860084533691406,12.357612609863281,39.05216979980469,24.270322799682617
2013-06-05,135.52000427246094,41.81361389160156,15.250561714172363,24.885602951049805,12.43378734588623,13.314352035522461,28.510902404785156,12.249231338500977,38.48347854614258,23.868488311767578
2013-06-06,136.52999877929688,42.48637390136719,15.350825309753418,25.072954177856445,12.607192039489746,13.344058990478516,28.63205337524414,12.393729209899902,39.044044494628906,24.119098663330078
2013-06-07,133.27999877929688,42.492374420166016,15.493492126464844,25.388307571411133,12.825551986694336,13.467144012451172,28.98834991455078,12.469266891479492,39.4014892578125,24.559825897216797
2013-06-10,133.94000244140625,42.125953674316406,15.566756248474121,25.316495895385742,12.831975936889648,13.496851921081543,28.98834991455078,12.46597671508789,39.458370208740234,24.486370086669922
2013-06-11,133.25,41.50123977661133,15.350825309753418,24.93243408203125,12.620035171508789,13.356794357299805,28.91710662841797,12.383878707885742,39.29588317871094,24.244403839111328
2013-06-12,134.25,40.936614990234375,15.273702621459961,24.77944564819336,12.4851655960083,13.26766300201416,28.77457046508789,12.262374877929688,38.897796630859375,23.976503372192383
2013-06-13,133.74000549316406,41.99979782104492,15.555188179016113,25.19472885131836,12.722795486450195,13.420456886291504,29.0738582611084,12.462696075439453,39.49897384643555,24.425878524780273
2013-06-14,134.42999267578125,42.155982971191406,15.443365097045898,24.9511775970459,12.55581283569336,13.318592071533203,29.002595901489258,12.479117393493652,39.433990478515625,24.348102569580078
2013-06-17,133.77000427246094,42.276123046875,15.574464797973633,25.31025505065918,12.677834510803223,13.441679000854492,29.259143829345703,12.518524169921875,39.523345947265625,24.482046127319336
2013-06-18,132.1300048828125,42.492374420166016,15.643872261047363,25.453882217407227,12.76132583618164,13.547786712646484,29.36602783203125,12.603903770446777,39.8564338684082,24.732664108276367
2013-06-19,130.58999633789062,41.18889236450195,15.524334907531738,25.219701766967773,12.587925910949707,13.390748023986816,28.78170394897461,12.314918518066406,39.22275924682617,24.451801300048828
2013-06-20,123.5999984741211,39.47694778442383,15.123316764831543,24.482824325561523,12.318182945251465,13.093646049499512,27.912334442138672,11.966814041137695,38.215396881103516,23.812313079833984
2013-06-21,125.05000305175781,40.01155471801758,15.072030067443848,24.524866104125977,12.329141616821289,13.014728546142578,28.280996322631836,12.123080253601074,38.59241485595703,23.85826301574707
2013-06-24,123.93000030517578,39.830230712890625,14.831119537353516,24.160926818847656,12.10990047454834,12.856894493103027,28.16623878479004,12.113129615783691,38.26598358154297,23.641525268554688
2013-06-25,123.47000122070312,40.497314453125,14.920489311218262,24.47152328491211,12.335591316223145,12.963541030883789,28.209278106689453,12.272378921508789,38.46184539794922,23.853927612304688
