,Settore,Drawdown %,Giorni recupero
XLE,Energy,3.1,2.0
GLD,Gold,-11.54,18.0
XLP,Consumer Staples,-12.15,3.0
XLU,Utilities,-12.2,65.0
XLV,Healthcare,-14.64,96.0
XLF,Financials,-21.3,2.0
XLB,Materials,-24.48,109.0
XLK,Technology,-32.5,2.0
VNQ,Real Estate,-32.87,
XLY,Consumer Discretionary,-37.7,2.0
