,Settore,CAGR %,Volatilità %,Sharpe Ratio,Max Drawdown %
XLV,Healthcare,8.33,16.62,0.381,-39.17
XLY,Consumer Discretionary,10.01,21.81,0.367,-59.05
XLP,Consumer Staples,6.72,14.08,0.336,-35.89
XLK,Technology,9.17,22.07,0.325,-82.05
XLU,Utilities,7.32,18.76,0.284,-52.27
XLB,Materials,7.87,23.39,0.251,-59.82
XLE,Energy,7.83,30.1,0.194,-71.26
XLF,Financials,5.72,29.53,0.126,-82.69
GLD,Gold,,17.53,,-45.56
VNQ,Real Estate,,29.15,,-73.07
