,Peso,Settore
GLD,0.54727,Gold
VNQ,0.0,Real Estate
XLB,0.0,Materials
XLE,0.0,Energy
XLF,0.0,Financials
XLK,0.0,Technology
XLP,0.10685,Consumer Staples
XLU,0.00076,Utilities
XLV,0.18392,Healthcare
XLY,0.16119,Consumer Discretionary
