,Settore,Drawdown %,Giorni recupero
XLF,Financials,-7.01,0
XLP,Consumer Staples,-7.92,0
XLB,Materials,-16.08,0
XLY,Consumer Discretionary,-16.13,0
XLV,Healthcare,-22.76,0
XLE,Energy,-22.96,0
XLU,Utilities,-33.77,0
XLK,Technology,-79.48,0
