,Peso,Settore
GLD,0.46831,Gold
VNQ,0.0,Real Estate
XLB,0.0,Materials
XLE,0.0,Energy
XLF,0.0,Financials
XLK,0.0,Technology
XLP,0.3523,Consumer Staples
XLU,0.02812,Utilities
XLV,0.15127,Healthcare
XLY,0.0,Consumer Discretionary
