,Settore,Drawdown %,Giorni recupero
GLD,Gold,-14.33,16
XLP,Consumer Staples,-29.96,1
XLV,Healthcare,-32.19,2
XLU,Utilities,-38.31,981
XLK,Technology,-41.82,465
XLY,Consumer Discretionary,-46.59,1
XLE,Energy,-48.5,877
XLB,Materials,-53.69,830
VNQ,Real Estate,-64.31,1
XLF,Financials,-70.44,1
