,Settore,Drawdown %,Giorni recupero
GLD,Gold,-7.56,17
XLP,Consumer Staples,-22.59,2
XLV,Healthcare,-24.37,2
XLK,Technology,-25.77,2
XLY,Consumer Discretionary,-30.22,2
XLB,Materials,-33.01,2
XLU,Utilities,-34.21,2
VNQ,Real Estate,-38.94,2
XLF,Financials,-40.55,2
XLE,Energy,-55.13,4
