,Peso,Settore
GLD,0.0368,Gold
VNQ,0.1498,Real Estate
XLB,0.1051,Materials
XLE,0.1019,Energy
XLF,0.115,Financials
XLK,0.1482,Technology
XLP,0.0599,Consumer Staples
XLU,0.0978,Utilities
XLV,0.0776,Healthcare
XLY,0.1078,Consumer Discretionary
